29617500,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29614503,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29616948,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29618106,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29616880,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29613987,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29616243,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29616327,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29613985,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,2117 3 AVENUE,3 AVENUE,EAST 115 STREET,EAST 116 STREET,,,NEW YORK,NA,Precinct,11 MANHATTAN,MANHATTAN,1000812,229909,MANHATTAN,40.79770759,-73.94018227,"(40.79770758865914, -73.9401822682408)"
29618047,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10312,199 DOVER GREEN,DOVER GREEN,CHESTNUT CIRCLE,BEND,,,STATEN ISLAND,NA,Precinct,03 STATEN ISLAND,STATEN ISLAND,929089,142342,STATEN ISLAND,40.5572001,-74.19851047,"(40.55720010178962, -74.19851047071748)"
